dataset,initial_set,cost_type,budget,initial_set_size,alpha,initial_r2_mean,initial_r2_std,random_updated_r2_mean,random_updated_r2_std,random_delta_r2_mean,random_delta_r2_se,random_unit_updated_r2_mean,random_unit_updated_r2_std,random_unit_delta_r2_mean,random_unit_delta_r2_se,similarity_updated_r2_mean,similarity_updated_r2_std,similarity_delta_r2_mean,similarity_delta_r2_se,poprisk_nlcd_0.5_updated_r2_mean,poprisk_nlcd_0.5_updated_r2_std,poprisk_nlcd_0.5_delta_r2_mean,poprisk_nlcd_0.5_delta_r2_se,poprisk_nlcd_1.0_updated_r2_mean,poprisk_nlcd_1.0_updated_r2_std,poprisk_nlcd_1.0_delta_r2_mean,poprisk_nlcd_1.0_delta_r2_se,greedycost_updated_r2_mean,greedycost_updated_r2_std,greedycost_delta_r2_mean,greedycost_delta_r2_se
USAVARS_TC,5_fixedstrata_10ppc_200_size,cluster_based_c1_10_c2_10,100,200,0.0,0.63,0.06,0.71,0.03,0.08,0.026422520697314242,0.75,0.02,0.12,0.03487020791449341,0.63,0.05,0.0,0.03250483963965979,0.75,0.02,0.12,0.03438930647745022,0.76,0.03,0.13,0.029053492044847196,0.6,0.11,-0.03,0.02962109721127832
USAVARS_TC,5_fixedstrata_10ppc_200_size,cluster_based_c1_10_c2_10,500,200,0.0,0.63,0.06,0.75,0.03,0.11,0.03195927721335387,0.8,0.02,0.17,0.025447565698903305,0.61,0.04,-0.02,0.027837762122699443,0.81,0.01,0.18,0.02779003418493759,0.82,0.01,0.19,0.03208871141071263,0.79,0.02,0.16,0.03254767887269381
USAVARS_TC,5_fixedstrata_10ppc_200_size,cluster_based_c1_10_c2_10,1000,200,0.0,0.63,0.06,0.78,0.01,0.15,0.0267838869471927,0.82,0.01,0.19,0.026765918627986586,0.75,0.03,0.12,0.018902391383102835,0.84,0.01,0.21,0.029267138568708755,0.84,0.01,0.21,0.03024293967193003,0.83,0.01,0.2,0.026565409840617938
USAVARS_TC,5_fixedstrata_10ppc_200_size,cluster_based_c1_10_c2_11,100,200,1.0,0.63,0.06,0.69,0.05,0.06,0.024593556066579713,0.75,0.02,0.12,0.03567337943060622,0.7,0.03,0.07,0.02118712816782868,0.74,0.04,0.11,0.019166778550398073,0.74,0.03,0.11,0.03630783661966103,0.7,0.04,0.07,0.026332812231130955
USAVARS_TC,5_fixedstrata_10ppc_200_size,cluster_based_c1_10_c2_11,500,200,1.0,0.63,0.06,0.74,0.03,0.11,0.028903985884303207,0.8,0.02,0.17,0.025395944558137613,0.77,0.01,0.14,0.025778642322667036,0.8,0.01,0.17,0.02782756547023113,0.81,0.01,0.18,0.03233963512471962,0.77,0.01,0.14,0.02805754800405765
USAVARS_TC,5_fixedstrata_10ppc_200_size,cluster_based_c1_10_c2_11,1000,200,1.0,0.63,0.06,0.78,0.01,0.15,0.028919467491639594,0.82,0.01,0.19,0.02585174268787308,0.79,0.01,0.16,0.031163417655963203,0.83,0.01,0.2,0.02931945770303399,0.83,0.01,0.2,0.028798864560950984,0.79,0.01,0.16,0.03493446149577806
USAVARS_TC,5_fixedstrata_10ppc_200_size,cluster_based_c1_10_c2_15,100,200,5.0,0.63,0.06,0.68,0.05,0.05,0.031015892700356054,0.74,0.01,0.11,0.029409352254002468,0.7,0.03,0.07,0.02118712816782868,0.74,0.04,0.11,0.015760881955017614,0.75,0.03,0.12,0.03183153467867987,0.7,0.04,0.07,0.026332812231130955
USAVARS_TC,5_fixedstrata_10ppc_200_size,cluster_based_c1_10_c2_15,500,200,5.0,0.63,0.06,0.74,0.01,0.11,0.026352787328857628,0.78,0.02,0.15,0.024072100033025776,0.77,0.01,0.14,0.025778642322667036,0.79,0.01,0.16,0.02797436326353112,0.79,0.02,0.16,0.03149122099887521,0.77,0.01,0.14,0.02805754800405765
USAVARS_TC,5_fixedstrata_10ppc_200_size,cluster_based_c1_10_c2_15,1000,200,5.0,0.63,0.06,0.76,0.03,0.13,0.0323770381597823,0.8,0.02,0.17,0.02456454762457472,0.79,0.01,0.16,0.031163417655963203,0.83,0.01,0.2,0.029449424442593106,0.82,0.0,0.19,0.03067815835411245,0.79,0.01,0.16,0.03493446149577806
USAVARS_TC,5_fixedstrata_10ppc_200_size,cluster_based_c1_10_c2_20,50,200,10.0,0.63,0.06,0.68,0.06,0.05,0.027796373864229132,0.67,0.09,0.04,0.038227660142886075,0.7,0.03,0.07,0.021093207437466694,0.72,0.06,0.09,0.019517812377415646,0.73,0.03,0.1,0.01958015321696946,0.69,0.04,0.06,0.017948075105704238
USAVARS_TC,5_fixedstrata_10ppc_200_size,cluster_based_c1_10_c2_20,100,200,10.0,0.63,0.06,0.66,0.06,0.03,0.030327621073865982,0.72,0.03,0.09,0.024742978802076362,0.7,0.03,0.07,0.02118712816782868,0.73,0.04,0.1,0.011189682747960282,0.72,0.04,0.08,0.01988485353227426,0.7,0.04,0.07,0.026332812231130955
USAVARS_TC,5_fixedstrata_10ppc_200_size,cluster_based_c1_10_c2_20,200,200,10.0,0.63,0.06,0.71,0.03,0.08,0.025392392561552752,0.76,0.02,0.13,0.0347635354933873,0.75,0.0,0.12,0.03068567418193706,0.76,0.03,0.13,0.02440324978358413,0.75,0.04,0.11,0.018448344099132583,0.73,0.02,0.1,0.026402291567210596
USAVARS_TC,5_fixedstrata_10ppc_200_size,cluster_based_c1_10_c2_20,300,200,10.0,0.63,0.06,0.71,0.03,0.08,0.025349209060639335,0.76,0.02,0.13,0.02508714013194807,0.76,0.01,0.13,0.02758071790218665,0.77,0.02,0.14,0.025076913685699042,0.76,0.02,0.13,0.02636804126210362,0.74,0.03,0.11,0.028545840327445254
USAVARS_TC,5_fixedstrata_10ppc_200_size,cluster_based_c1_10_c2_20,400,200,10.0,0.63,0.06,0.71,0.04,0.08,0.026072847945707807,0.77,0.02,0.14,0.020818083485277885,0.76,0.01,0.13,0.03604432826395853,0.78,0.02,0.15,0.026280289191711718,0.77,0.03,0.14,0.01888762557866923,0.76,0.01,0.13,0.0310825899821749
USAVARS_TC,5_fixedstrata_10ppc_200_size,cluster_based_c1_10_c2_20,500,200,10.0,0.63,0.06,0.74,0.01,0.11,0.026385204187195522,0.78,0.02,0.15,0.024402897368960088,0.77,0.01,0.14,0.025778642322667036,0.77,0.01,0.14,0.02920918691097032,0.78,0.01,0.15,0.026569787353307894,0.77,0.01,0.14,0.02805754800405765
USAVARS_TC,5_fixedstrata_10ppc_200_size,cluster_based_c1_10_c2_20,1000,200,10.0,0.63,0.06,0.76,0.02,0.13,0.031242048588400843,0.8,0.02,0.17,0.02692288246083615,0.79,0.01,0.16,0.031163417655963203,0.82,0.01,0.19,0.028867064277477178,0.82,0.02,0.19,0.027925175021832886,0.79,0.01,0.16,0.03493446149577806
USAVARS_TC,5_fixedstrata_10ppc_200_size,cluster_based_c1_10_c2_25,100,200,15.0,0.63,0.06,0.68,0.06,0.05,0.029418184852230432,0.68,0.1,0.05,0.04160623030268424,0.7,0.03,0.07,0.02118712816782868,0.74,0.05,0.11,0.023738041199728336,0.68,0.1,0.05,0.030105936291701677,0.7,0.04,0.07,0.026332812231130955
USAVARS_TC,5_fixedstrata_10ppc_200_size,cluster_based_c1_10_c2_25,500,200,15.0,0.63,0.06,0.71,0.04,0.08,0.026072847945707807,0.78,0.02,0.15,0.02118525430576654,0.77,0.01,0.14,0.025778642322667036,0.79,0.02,0.16,0.02780553182372169,0.8,0.01,0.17,0.029523404275252525,0.77,0.01,0.14,0.02805754800405765
USAVARS_TC,5_fixedstrata_10ppc_200_size,cluster_based_c1_10_c2_25,1000,200,15.0,0.63,0.06,0.75,0.03,0.11,0.030609387448951017,0.79,0.02,0.16,0.0247996572556961,0.79,0.01,0.16,0.031163417655963203,0.82,0.01,0.19,0.030163580689301455,0.82,0.01,0.18,0.029180154214808383,0.79,0.01,0.16,0.03493446149577806
USAVARS_TC,5_fixedstrata_10ppc_200_size,cluster_based_c1_10_c2_30,100,200,20.0,0.63,0.06,0.65,0.06,0.02,0.0334213165509679,0.68,0.1,0.05,0.04007190287470762,0.7,0.03,0.07,0.02118712816782868,0.74,0.06,0.11,0.02509881670517555,0.76,0.05,0.13,0.026528750441737727,0.7,0.04,0.07,0.026332812231130955
USAVARS_TC,5_fixedstrata_10ppc_200_size,cluster_based_c1_10_c2_30,500,200,20.0,0.63,0.06,0.71,0.04,0.08,0.02587712116909452,0.77,0.03,0.14,0.02444006137471836,0.77,0.01,0.14,0.025778642322667036,0.79,0.01,0.16,0.028794315411205716,0.8,0.01,0.17,0.03005772113783743,0.77,0.01,0.14,0.02805754800405765
USAVARS_TC,5_fixedstrata_10ppc_200_size,cluster_based_c1_10_c2_30,1000,200,20.0,0.63,0.06,0.74,0.01,0.11,0.026068609475766055,0.78,0.02,0.15,0.024540558265858572,0.79,0.01,0.16,0.031163417655963203,0.82,0.01,0.19,0.029602189108239946,0.82,0.01,0.19,0.03220360849345923,0.79,0.01,0.16,0.03493446149577806
USAVARS_TC,5_fixedstrata_10ppc_200_size,cluster_based_c1_10_c2_35,100,200,25.0,0.63,0.06,0.66,0.07,0.03,0.031430377026055556,0.67,0.09,0.04,0.038227660142886075,0.7,0.03,0.07,0.02118712816782868,0.76,0.03,0.13,0.023858486959570584,0.75,0.03,0.12,0.021351430865401033,0.7,0.04,0.07,0.026332812231130955
USAVARS_TC,5_fixedstrata_10ppc_200_size,cluster_based_c1_10_c2_35,500,200,25.0,0.63,0.06,0.71,0.03,0.08,0.024696283121150023,0.75,0.02,0.12,0.025234341679544556,0.77,0.01,0.14,0.025778642322667036,0.79,0.02,0.16,0.02792306215299461,0.79,0.01,0.16,0.030962105871532704,0.77,0.01,0.14,0.02805754800405765
USAVARS_TC,5_fixedstrata_10ppc_200_size,cluster_based_c1_10_c2_35,1000,200,25.0,0.63,0.06,0.74,0.01,0.11,0.02547660495434978,0.78,0.02,0.15,0.02375290298047797,0.79,0.01,0.16,0.031163417655963203,0.82,0.01,0.19,0.029398673439459806,0.81,0.01,0.18,0.032896981624459094,0.79,0.01,0.16,0.03493446149577806
